2020-04-08 13:59:37,170 MainThread      DEBUG    transaction    :219      SEND: 0x0 0x4 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:37,170 MainThread      DEBUG    sync           :75       New Transaction state 'SENDING'
2020-04-08 13:59:37,170 MainThread      DEBUG    transaction    :228      Changing transaction state from 'SENDING' to 'WAITING FOR REPLY'
2020-04-08 13:59:37,170 Thread-2        DEBUG    sync           :199      Handling data: 0x0 0x4 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:37,171 Thread-2        DEBUG    socket_framer  :147      Processing: 0x0 0x4 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:37,171 Thread-2        DEBUG    factory        :137      Factory Request[WriteSingleRegisterRequest: 6]
2020-04-08 13:59:37,171 Thread-2        DEBUG    context        :64       validate: fc-[6] address-1: count-1
2020-04-08 13:59:37,172 Thread-2        DEBUG    context        :90       setValues[6] 1:1
2020-04-08 13:59:37,172 Thread-2        DEBUG    context        :78       getValues fc-[6] address-1: count-1
2020-04-08 13:59:37,172 Thread-2        DEBUG    sync           :229      send: [WriteRegisterResponse 0 => 0]- b'000400000006000600000000'
2020-04-08 13:59:37,173 MainThread      DEBUG    transaction    :304      Changing transaction state from 'WAITING FOR REPLY' to 'PROCESSING REPLY'
2020-04-08 13:59:37,173 MainThread      DEBUG    transaction    :233      RECV: 0x0 0x4 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:37,174 MainThread      DEBUG    socket_framer  :147      Processing: 0x0 0x4 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:37,174 MainThread      DEBUG    factory        :266      Factory Response[WriteSingleRegisterResponse: 6]
2020-04-08 13:59:37,175 MainThread      DEBUG    transaction    :383      Adding transaction 4
2020-04-08 13:59:37,175 MainThread      DEBUG    transaction    :394      Getting transaction 4
2020-04-08 13:59:37,175 MainThread      DEBUG    transaction    :193      Changing transaction state from 'PROCESSING REPLY' to 'TRANSACTION_COMPLETE'
2020-04-08 13:59:37,567 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0xb 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:37,567 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0xb 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:37,570 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:37,570 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:37,571 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:37,571 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'000b000000050003020000'
2020-04-08 13:59:38,076 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0xc 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:38,077 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0xc 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:38,077 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:38,077 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:38,078 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:38,078 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'000c000000050003020000'
